study_hrs;study_hrs_group;study_stress;study_workload;study_eff_lect;study_eff_self;study_satis;leisure_hrs;leisure_sleep_hrs;leisure_sport_hrs;leisure_social_hrs;leisure_satis;
40;5;8;4;7;10;9;20;6;10;50;8;
5;8;8;7;5;8;4;3;6;1;7;7;
10;8;5;6;4;8;8;3;8;3;10;10;
16;4;10;10;6;10;5;40;7;20;48;10;
28;17;8;9;7;8;6;20;5;4;21;8;
21;;5;7;9;8;8;4;8;2;;7;
14;4;8;7;6;8;7;6;7;6;8;8;
21;15;6;6;5;9;8;15;7;10;10;8;
40;7;5;5;5;5;7;14;56;14;14;5;
10;5;8;8;8;8;8;5;6;3;8;8;
28;12;5;5;6;6;6;12;6;7;12;7;
10;5;4;5;6;10;10;15;8;2;20;6;
2;2;2;2;2;2;2;1;8;16;;5;
21;3;5;7;8;8;10;10;8;6;24;5;
56;10;6;3;8;5;9;21;6;7;5;4;
2;1;1;2;7;5;10;50;6;1;2;10;
35;6;7;8;5;9;9;21;8;0;30;8;
18;0;6;5;6;4;3;20;8;4;12;8;
2;0;5;2;5;7;1;2;7;4;6;5;
9;9;6;6;6;6;6;2;6;1;3;6;
25;25;10;10;10;10;10;25;25;25;25;10;
30;0;6;5;7;10;6;40;6;2;26;6;
20;4;5;5;8;8;6;10;7;10;15;10;
60;12;9;9;6;8;7;10;6;2;5;6;
50;21;5;5;5;6;5;20;6;20;10;5;
21;42;5;7;5;7;5;35;6;10;49;5;
2;3;4;3;9;7;4;24;8;3;5;4;
60;0;10;10;5;5;5;48;3;12;15;5;
77;14;7;7;6;9;4;;6;0;6;9;
77;12;7;7;8;9;3;7;6;0;6;7;
35;7;6;6;7;8;5;21;6;0;2;7;
10;6;1;5;7;9;8;10;6;2;10;8;
9;7;7;7;5;9;7;30;7;2;3;7;
16;5;8;9;7;7;3;16;5;5;48;5;
10;3;6;6;5;4;6;4;5;3;5;7;
;72;3;9;5;7;7;12;8;24;50;8;
;;5;5;8;8;8;;7;;;7;
48;2;7;5;8;5;7;38;6;2;;7;
24;0;5;5;5;5;5;30;42;14;35;6;
6;3;5;5;5;5;5;6;7;2;6;6;
10;10;8;7;4;8;7;20;8;5;10;7;
14;4;6;5;5;5;5;5;7;3;2;7;
7;4;5;3;5;8;3;14;8;2;12;3;
;4;5;5;5;8;7;;6;;4;8;
7;3;6;6;4;8;6;4;6;1;4;6;
15;4;2;2;8;6;9;30;7;3;2;8;
40;10;7;8;7;1;6;10;6;10;15;7;
