study_hrs,study_hrs_group,study_stress,study_workload,study_eff_lect,study_eff_self,study_satis,leisure_hrs,leisure_sleep_hrs,leisure_sport_hrs,leisure_social_hrs,leisure_satis
15.0,4.0,6,4,7,6,6,16.0,6,10.0,3.0,8
7.0,1.0,10,10,1,1,7,10.0,5,12.0,50.0,8
60.0,20.0,8,9,6,3,3,4.0,6,5.0,8.0,4
40.0,4.0,8,7,7,7,6,5.0,8,8.0,5.0,6
2.0,7.0,3,3,8,10,8,7.0,7,1.0,2.0,6
14.0,2.0,9,2,3,3,4,20.0,6,2.0,7.0,3
44.0,3.0,3,7,8,10,10,1.0,8,7.0,12.0,8
16.0,0.0,5,8,6,6,7,35.0,56,0.0,35.0,10
15.0,4.0,9,9,6,8,7,5.0,6,2.0,2.0,6
64.0,5.0,8,8,7,8,7,14.0,7,0.0,12.0,7
20.0,0.0,1,5,3,5,7,12.0,8,1.0,2.0,8
14.0,3.0,2,3,1,10,8,28.0,8,14.0,7.0,9
69.0,48.0,9,5,8,9,9,10.0,7,7.0,5.0,7
4.0,0.0,5,5,3,5,4,10.0,7,7.0,3.0,5
1.0,2.0,1,2,3,9,10,50.0,8,1.0,5.0,10
84.0,4.0,6,9,7,10,9,3.0,8,3.0,10.0,8
10.0,2.0,4,7,9,10,4,0.0,6,0.0,10.0,8
56.0,56.0,10,5,4,10,4,10.0,7,0.0,5.0,2
40.0,40.0,5,7,3,7,6,10.0,6,0.0,1.0,8
56.0,9.0,3,4,8,5,7,9.0,7,9.0,10.0,4
40.0,2.0,7,6,2,8,7,7.0,6,7.0,14.0,6
30.0,15.0,6,7,7,8,7,12.0,6,6.0,12.0,7
26.0,1.0,10,9,4,8,8,8.0,5,4.0,15.0,7
5.0,1.0,6,5,4,8,8,6.0,7,1.0,5.0,8
35.0,5.0,7,7,3,8,7,21.0,6,2.0,12.0,7
21.0,1.0,1,1,3,10,3,10.0,6,5.0,4.0,2
50.0,20.0,1,6,5,10,10,25.0,6,6.0,4.0,7
5.0,3.0,7,6,6,5,6,3.0,6,3.0,5.0,6
35.0,7.0,7,6,8,8,8,7.0,6,2.0,7.0,7
10.0,3.0,4,3,4,8,4,10.0,5,7.0,10.0,10
5.0,1.0,3,4,3,3,2,5.0,1,3.0,4.0,1
10.0,10.0,3,4,3,8,7,12.0,7,6.0,6.0,9
12.0,4.0,4,7,5,4,5,20.0,6,1.0,14.0,5
40.0,5.0,8,4,7,10,9,20.0,6,10.0,50.0,8
5.0,8.0,8,7,5,8,4,3.0,6,1.0,7.0,7
10.0,8.0,5,6,4,8,8,3.0,8,3.0,10.0,10
16.0,4.0,10,10,6,10,5,40.0,7,20.0,48.0,10
28.0,17.0,8,9,7,8,6,20.0,5,4.0,21.0,8
21.0,8.107142857142858,5,7,9,8,8,4.0,8,2.0,12.940119760479043,7
